Name,Building,Type,address,Location,Google map link,Phone number,Day of the week,Open/Close,Start time,End time,Dine-in,Takeout,Delivery,Rating,Reviews,Menu ( photo),Menu (list),Number of items,Name of Food,Price,Inside,Website,Social Media
Panda Express,Union,Chinese,"200 S, Central Campus Dr, Salt Lake City, UT 84112","40.76546936141911, -111.84611412181899",Panda Express - Google Maps,8015853319,Sunday,Closed,,,Yes,Yes,No,3.6,"https://www.google.com/maps/place/Panda+Express/@40.7650188,-111.8548664,16z/data=!4m11!1m2!2m1!1srestaurants+panda!3m7!1s0x87525f8d83ab008f:0x7e8eb2f3d7657a17!8m2!3d40.7650188!4d-111.8461117!9m1!1b1!15sChFyZXN0YXVyYW50cyBwYW5kYVoTIhFyZXN0YXVyYW50cyBwYW5kYZIBEmNoaW5lc2VfcmVzdGF1cmFudOABAA",https://www.pandaexpress.com/menu/entrees,Appetizers,3,Chicken Egg Roll,2,"Cabbage, carrots, gree onions and chicken in a crispy wonton wrapper.",Order Panda Express | A Fast Casual Chinese Restaurant | Panda Express Chinese Restaurant,
,,,,,,,Monday,Open,10:00 AM,6:00 PM,,,,,,,,,Vegetable Spring Rolls,2,"Cabbage, celery, carrots, green onions and Chinese noodles in a crispy wonton wrapper",,
,,,,,,,Tuesday,Open,10:00 AM,6:00 PM,,,,,,,,,Cream Cheese Rangoon,2,,,
,,,,,,,Wednesday,Open,10:00 AM,6:00 PM,,,,,,,Build Your Own,3,Bowl,6.6,Any 1 Side & 1 Entrée,,
,,,,,,,Thursday,Open,10:00 AM,6:00 PM,,,,,,,,,Plate,8.2,Any 1 Side & 2 Entrées,,
,,,,,,,Friday,Open,10:00 AM,5:00 PM,,,,,,,,,Bigger Plate,9.85,Any 1 Side & 3 Entrees,,
,,,,,,,Saturday,Closed,,,,,,,,,Individual Entrée,7,Orange Chicken,4.2,Our signature dish. Crispy chicken wok-tossed in a sweet and spicy orange sauce.,,
,,,,,,,,,,,,,,,,,,,Broccoli Beef,4.2,A classic favorite. Tender beef and fresh broccoli in a ginger soy sauce. ,,
,,,,,,,,,,,,,,,,,,,Honey Walnut Shrimp,5.45,"Large tempura-battered shrimp, wok tossed in a honey sauce and topped with glazed walnuts. ",,
,,,,,,,,,,,,,,,,,,,Beijing Beef,4.2,"Crispy beef, bell peppers and onions in a sweet-tangy sauce.",,
,,,,,,,,,,,,,,,,,,,Grilled Teriyaki Chicken,4.2,Grilled chicken thigh hand-sliced to order and served with teryaki sauce. ,,
,,,,,,,,,,,,,,,,,,,Honey Sasame Chicken Breast,4.2,"Honey Sesame Chicken Breast is made with thin, crispy strips of all-white meat chicken raised without antibiotics and tossed with fresh-cut string beans, and crisp yellow bell peppers. ",,
,,,,,,,,,,,,,,,,,,,Sweet Fire Chicken,4.2,"Crispy, white-meat chicken, red bell peppers, onions and pineapples in a bright and sweet chili sauce.",,
,,,,,,,,,,,,,,,,,Sides,4,Chow Mein,3.05,"Stir-fried wheat noodles with onions, celery and cabbage.",,
,,,,,,,,,,,,,,,,,,,Fried Rice,3.05,"Prepared steamed white rice with soy sauce, eggs, peas, carrots and green onions.",,
,,,,,,,,,,,,,,,,,,,Super Greens,3.05,"A healthful medley of broccoli, kale, and cabbage.",,
,,,,,,,,,,,,,,,,,,,Steamed Rice,3.05,,,
,,,,,,,,,,,,,,,,,Beverages,5,Fountain Drink,1.9,,,
,,,,,,,,,,,,,,,,,,,Bottled Water,2,,,
,,,,,,,,,,,,,,,,,,,Gaterode,2.1,,,
,,,,,,,,,,,,,,,,,,,Bang,2.1,,,
,,,,,,,,,,,,,,,,,,,Sanzo Lychee Sparkling Water,2.1,,,
